"","id","family_id","name","latitude","longitude"
"14","abad1241","aust1307","Abadi",-9.03389,146.992
"19","abai1240","aust1307","Abai Sungai",5.55394,118.306
"20","abai1241","aust1307","Abai Tubu-Abai Sembuak",3.524226,116.162455
"44","aben1249","aust1307","Abenlen Ayta",15.4131,120.2
"102","achi1257","aust1307","Acehnese",3.90757,96.6032
"133","adas1235","aust1307","Adasen",17.8187,120.905
"164","adon1237","aust1307","Adonara",-8.32027,123.159
"172","adze1240","aust1307","Adzera",-6.39394,146.294
"251","agta1234","aust1307","Agta-Pahanan",17.0538,122.2802
"262","agus1235","aust1307","Agusan Manobo",8.62731,125.742
"263","agut1237","aust1307","Agutaynen",10.5328,119.655
"276","ahin1234","aust1307","Ahin-Kayapa Kalanguya",16.321,120.90003
"293","aigh1235","aust1307","Aighon",-5.99488,150.272
"297","aikl1237","aust1307","Aiklep",-6.23575,149.571
"333","ajie1238","aust1307","Ajië",-21.3029,165.468
"364","akei1237","aust1307","Akei",-15.6377,166.767
"384","akla1240","aust1307","Aklanon",11.55432,122.35413
"385","akla1241","aust1307","Kailibo Aklanon",11.5543,122.354
"387","akol1237","aust1307","Akolet",-6.22711,150.182
"420","alab1246","aust1307","Alabat Island Agta",14.1217,122.014
"439","alan1249","aust1307","Alangan",13.0982,121.022
"453","alba1269","aust1307","Inland-Buhi-Daraga Bikol",13.1989,123.49
"509","alor1247","aust1307","Alorese",-8.20382,124.264
"539","alun1238","aust1307","Alune",-3.11477,128.394
"555","amah1245","aust1307","Amahai",-3.32028,128.939
"574","amar1272","aust1307","Amara",-5.55778,148.68
"575","amar1273","aust1307","Amarasi",-10.21751,123.96373
"585","amba1265","aust1307","Ambai",-1.88126,136.526
"586","amba1266","aust1307","Amba (Solomon Islands)",-11.2958,166.498
"587","amba1267","aust1307","Ambala Ayta",14.8156,120.283
"593","ambe1248","aust1307","Ambelau",-3.85919,127.196
"594","ambl1237","aust1307","Amblong",-15.5169,166.95
"598","ambo1250","aust1307","Ambonese Malay",-3.71342,128.184
"625","amga1235","aust1307","Amganad Ifugao",16.9016,121.042
"632","amis1246","aust1307","Amis",23.0917,121.348
"647","ampa1239","aust1307","Ampanang",-0.79259,116.349
"650","ampi1237","aust1307","Ampibabo",-0.5,120
"672","anak1240","aust1307","Anakalang",-9.63425,119.605
"727","andi1257","aust1307","Andio",-0.88368,123.174
"736","andr1248","aust1307","Andra-Hus",-2.05894,147.085
"739","anei1239","aust1307","Aneityum",-20.1864,169.825
"824","ansu1237","aust1307","Ansus",-1.7543,135.866
"829","anta1255","aust1307","Antankarana Malagasy",-13.2164,49.2402
"846","anuk1239","aust1307","Anuki",-9.6692,149.822
"847","anus1237","aust1307","Korur",-2.26271,139.502
"849","anut1237","aust1307","Anuta",-11.61,169.85
"863","aohe1237","aust1307","Aoheng-Seputan",0.87404,114.127
"869","aore1237","aust1307","Aore",-15.5753,167.166
"879","apal1255","aust1307","Apalik",-6.29002,149.96
"894","apma1240","aust1307","Apma",-15.8559,168.189
"917","aput1237","aust1307","Aputai",-7.84732,126.496
"940","arak1252","aust1307","Araki",-15.632997,166.952542
"947","aral1243","aust1307","Aralle-Tabulahan",-2.78397,119.319
"1009","area1240","aust1307","'Are'are",-9.20699,161.158
"1014","aree1239","aust1307","Are",-9.67147,149.999
"1025","argu1237","aust1307","Arguni",-2.645798,132.5556
"1026","arha1237","aust1307","Arhâ",-21.2866,165.273
"1028","arho1237","aust1307","Arhö",-21.3183,165.161
"1031","arib1240","aust1307","Aribwaung",-6.65252,146.919
"1032","arib1241","aust1307","Aribwatsa",-6.72266,146.991
"1035","arif1239","aust1307","Arifama-Miniafia",-9.15565,149.246
"1071","arop1242","aust1307","Arop-Sissano",-3.06984,142.12
"1072","arop1243","aust1307","Arop-Lokep",-5.31671,147.103
"1074","aros1241","aust1307","Arosi",-10.2441,161.432
"1078","arta1239","aust1307","Arta",16.4185,121.656
"1148","asil1242","aust1307","Asilulu",-3.67302,127.952
"1175","asss1237","aust1307","As",-0.75267,131.728
"1188","asum1237","aust1307","Asumboa",-11.2969,166.499
"1196","ataa1240","aust1307","Ata",9.715,122.9
"1205","atam1240","aust1307","Ata Manobo",7.7789,125.499
"1211","atay1247","aust1307","Atayal",24.5209,121.388
"1225","atii1237","aust1307","Ati",11.1539,122.512
"1268","auhe1237","aust1307","'Auhelawa",-10.0959,151.002
"1271","aulu1238","aust1307","Aulua",-16.3579,167.697
"1285","aust1304","aust1307","Austral",-23.3843,-149.462
"1316","avau1237","aust1307","Avau",-6.24342,150.427
"1327","avok1244","aust1307","Avok",-16.536653,167.773866
"1335","awad1244","aust1307","Awad Bing",-5.59896,146.355
"1379","axam1237","aust1307","Axamb",-16.4838,167.707
"1394","ayiw1239","aust1307","Äiwoo",-10.30387,166.32344
"1448","baba1267","aust1307","Baba Malay",1.75414,103.076
"1449","baba1268","aust1307","Babatana",-7.22281,157.149
"1462","babu1240","aust1307","Babuza",24.0017,120.585
"1464","babu1242","aust1307","Babuyan",19.48,121.96
"1466","baca1243","aust1307","Bacanese Malay",-0.62275,127.49
"1478","bada1261","aust1307","Bada (Indonesia)",-1.80249,120.319
"1497","badu1237","aust1307","Badui",-6.35359,106.177
"1500","baeg1237","aust1307","Baeggu",-8.49014,160.771
"1501","bael1237","aust1307","Baelelea",-8.41627,160.721
"1503","baet1237","aust1307","Baetora",-15.2574,168.159
"1558","baha1257","aust1307","Bahau",0.30801,115.332
"1575","baho1237","aust1307","Bahonsuai",-2.22572,121.707
"1590","baik1238","aust1307","Baikeno",-9.32991,124.256
"1643","baki1244","aust1307","Baki",-16.7096,168.165
"1657","baku1263","aust1307","Bakumpai",-1.98842,114.77
"1677","bala1310","aust1307","Balangao",17.0994,121.272
"1678","bala1311","aust1307","Balangingi",6.011614,121.686646
"1681","bala1314","aust1307","Balaesang",-0.05644,119.689
"1682","bala1315","aust1307","Balantak",-0.86809,123.289
"1683","bala1316","aust1307","Balade",-20.25,164.2
"1701","bali1278","aust1307","Balinese",-8.35714,115.075
"1702","bali1279","aust1307","Balinese Malay",-8.355884,114.648391
"1709","bali1287","aust1307","Baliledu-Buawa",-9.56709,119.49165
"1731","balu1257","aust1307","Paluai",-2.5604,147.282
"1746","bamb1270","aust1307","Bambam",-3.02759,119.201
"1781","bana1288","aust1307","Banao Itneg",17.5643,121.05
"1811","band1353","aust1307","Banda Malay",-4.55565,129.905
"1813","band1355","aust1307","Banda (Indonesia)",-5.42138,133.142
"1852","bang1365","aust1307","Bangka",-1.73288,105.897
"1855","bang1368","aust1307","Banggai",-1.58305,123.171
"1874","banj1239","aust1307","Banjar",0.747105,115.79
"1885","bann1247","aust1307","Bannoni",-6.23061,155.128
"1898","bant1286","aust1307","Bantik",1.44586,124.846
"1900","bant1288","aust1307","Bantoanon",12.5194,122.034
"1905","bant1293","aust1307","Bantayanon",11.2144,123.755
"1946","bara1367","aust1307","Barakai",-6.7394,134.671
"1948","bara1369","aust1307","Bara Malagasy",-23.9716,45.5937
"1949","bara1370","aust1307","Baram Kayan",3.51211,114.482
"1950","bara1371","aust1307","Baras",-1.5667,119.342
"2005","bari1286","aust1307","Bariai",-5.5087,148.666
"2020","baro1253","aust1307","Barok",-3.47672,152.193
"2055","basa1286","aust1307","Basap",1.41405,117.942
"2056","basa1287","aust1307","Basay",25.0046,121.857
"2106","bata1288","aust1307","Batak Simalungun",3.04372,98.9083
"2107","bata1289","aust1307","Batak Toba",2.35498,99.1761
"2108","bata1290","aust1307","Batak Angkola",1.66127,99.60248
"2109","bata1291","aust1307","Batak Mandailing",0.85805,99.898
"2110","bata1292","aust1307","Batak Alas-Kluet",3.4293,97.8123
"2111","bata1293","aust1307","Batak Karo",2.12787,98.2517
"2112","bata1294","aust1307","Batak Dairi",2.51438,98.2427
"2113","bata1295","aust1307","Batanta",-0.862394,130.646
"2115","bata1297","aust1307","Bataan Ayta",14.4153,120.49
"2116","bata1298","aust1307","Batad Ifugao",16.8266,121.23
"2119","bata1301","aust1307","Batak",10.1115,119.025
"2142","bati1253","aust1307","Bati (Indonesia)",-3.61403,130.815
"2155","batu1258","aust1307","Batuley",-5.814412,134.784314
"2157","batu1260","aust1307","Batui",-1.254442,122.487151
"2162","baub1235","aust1307","Bau-Jagoi Bidayuh",1.54467,109.985
"2169","baur1252","aust1307","Bauro",-10.5826,161.863
"2191","bayb1234","aust1307","Baybayanon",10.6956,124.8086
"2226","bebe1252","aust1307","Bebeli",-5.63282,150.323
"2245","bedo1237","aust1307","Bedoanas",-2.74438,132.566
"2268","beka1241","aust1307","Riuk Bekati'",1.3307,109.576
"2281","bela1260","aust1307","Lemeting",4.96207,114.933
"2347","beng1287","aust1307","Benggoi",-3.13924,130.091
"2363","bent1237","aust1307","Bentong",-4.76004,119.806
"2369","beny1237","aust1307","Benyadu'",0.78534,109.753
"2381","bera1262","aust1307","Berau Malay",1.6687,117.934
"2415","beso1237","aust1307","Besoa",-1.60095,120.379
"2418","beta1252","aust1307","Betawi",-6.21174,107.022
"2505","biak1248","aust1307","Biak",-0.9523,135.879
"2520","biat1246","aust1307","Biatah Bidayuh",1.17596,110.254
"2542","biem1237","aust1307","Biem",-3.61342,144.816
"2543","bier1244","aust1307","Bierebo",-16.6663,168.154
"2545","bier1246","aust1307","Bieria",-16.7867,168.232
"2548","biga1238","aust1307","Biga",-1.99574,130.272
"2551","bign1238","aust1307","Big Nambas",-16.0903,167.239
"2555","biha1246","aust1307","Bih",12.483333,108.016667
"2586","bilb1241","aust1307","Bilibil",-5.26505,145.764
"2587","bilb1242","aust1307","Bilba",-10.6503,123.307
"2605","bilu1244","aust1307","Bilur",-4.39732,152.334
"2610","bima1247","aust1307","Bima",-8.57376,118.445
"2617","bina1271","aust1307","Bina (Papua New Guinea)",-10.2667,149.661
"2641","bino1237","aust1307","Binongan Itneg",17.5972,120.876
"2645","bint1245","aust1307","Bintauna",0.75069,123.486
"2646","bint1246","aust1307","Bintulu",3.867,113.634
"2647","binu1244","aust1307","Talaandig-Binukid",8.15933,124.892
"2651","bipi1237","aust1307","Bipi",-2.11115,146.398
"2654","bira1254","aust1307","Birao",-9.73716,160.52
"2726","blab1237","aust1307","Blablanga",-8.15058,159.419
"2749","boan1242","aust1307","Boano (Maluku)",-2.95535,127.953
"2750","boan1243","aust1307","Boano (Sulawesi)",0.51152,120.992
"2763","bobo1254","aust1307","Bobot",-3.43514,130.179
"2764","bobo1255","aust1307","Bobongko",-0.36759,121.922
"2842","bola1250","aust1307","Bola",-5.55792,150.095
"2844","bola1252","aust1307","Bolango",0.39044,123.888
"2857","boli1256","aust1307","Bolinao",16.3071,119.853
"2872","bolo1268","aust1307","Bolongan",2.75927,117.293
"2924","bone1254","aust1307","Bonerate",-7.37657,121.792
"2931","bong1287","aust1307","Bonggo",-2.28044,139.576
"2933","bong1289","aust1307","Bonggi",7.29249,117.174
"2949","bont1247","aust1307","Bontok",17.09386,121.02662
"2954","book1241","aust1307","Bookan",5.32519,116.474
"3009","bose1237","aust1307","Boselewa",-9.44763,150.693
"3031","boto1242","aust1307","Botolan Sambal",15.2315,120.164
"3054","bowa1234","aust1307","Manus Koro",-2.03429,147.14267
"3101","broo1239","aust1307","Brooke's Point Palawano",8.83891,117.871
"3110","brun1242","aust1307","Brunei",4.456045,114.429505
"3113","brun1245","aust1307","Brunei Bisaya-Dusun",4.60791,114.517
"3148","budi1249","aust1307","Budibud",-9.29802,153.689
"3152","budo1241","aust1307","Budong-Budong",-2.07756,119.327
"3169","buga1250","aust1307","Bugawac",-6.67519,147.32
"3172","bugh1239","aust1307","Bughotu",-8.47948,159.802
"3174","bugi1244","aust1307","Buginese",-4.47,119.977
"3186","buhi1243","aust1307","Buhi",13.17,123.5
"3188","buhi1245","aust1307","Buhid",12.6396,121.21
"3189","buhu1237","aust1307","Buhutu",-10.5074,150.18
"3198","buka1257","aust1307","Bukar-Sadung Bidayuh",0.96817,110.657
"3202","buka1261","aust1307","Bukat",1.29075,113.246
"3207","buki1247","aust1307","Bukit Malay",-2.75049,115.64
"3208","buki1248","aust1307","Bukitan",2.34947,114.895
"3236","buli1255","aust1307","Buli (Indonesia)",1.0008,128.443
"3249","bulu1253","aust1307","Bulu (Papua New Guinea)",-5.06134,150.101
"3267","buna1276","aust1307","Bunama",-10.0761,151.066
"3286","bung1269","aust1307","Bungku",-3.22197,122.212
"3302","bunu1267","aust1307","Bunun",23.4116,121.025
"3303","buol1237","aust1307","Buol",0.97727,121.519
"3321","bura1300","aust1307","Bura (Espiritu Santo)",-15.40319,166.67531
"3337","burm1263","aust1307","Burmbar",-16.41653,167.73124
"3350","buru1303","aust1307","Buru (Indonesia)",-3.43957,126.632
"3351","buru1304","aust1307","Burusu",3.36912,117.012
"3370","busa1254","aust1307","Busami",-1.73681,136.032
"3371","busa1255","aust1307","Busang Kayan",0.03494,115.401
"3376","bush1250","aust1307","Kibosy Kiantalaotsy-Majunga",-12.9652,45.1368
"3380","buso1238","aust1307","Busoa",-5.60524,122.622
"3387","butb1235","aust1307","Butbut Kalinga",17.2239,121.091
"3392","butm1237","aust1307","Farafi",-15.3353,167.034
"3396","butu1244","aust1307","Butuanon",8.87009,125.418
"3418","bwai1242","aust1307","Bwaidoka",-9.51158,150.297
"3429","bwan1241","aust1307","Bwanabwana",-10.6599,151.034
"3431","bwat1240","aust1307","Bwatoo",-21.3777,165.076
"3438","bwen1239","aust1307","Bwenelang",-16.338946,167.660849
"3452","caac1237","aust1307","Caac",-20.4114,164.578
"3461","cacg1235","aust1307","Cacgia Roglai",11.6489,109.138
"3501","cala1258","aust1307","Calamian Tagbanwa",12.0716,120.094
"3510","calu1238","aust1307","Caluyanun",12.0489,121.384
"3514","cama1250","aust1307","Camarines Norte Agta",14.1571,122.835
"3536","camp1262","aust1307","Campalagian",-3.47851,119.16863
"3567","capi1239","aust1307","Capiznon",11.4122,122.954
"3582","cari1276","aust1307","Caribbean Javanese",5.62695,-54.6305
"3596","caro1242","aust1307","Carolinian",15.205,145.765
"3609","casi1235","aust1307","Casiguran-Nagtipunan Agta",16.2176,121.878
"3645","cebu1242","aust1307","Cebuano",8.38799,124.367
"3655","cemu1238","aust1307","Cemuhî",-20.8489,165.13
"3744","cent2053","aust1307","South Barisan Malay",-3.79673,103.137
"3745","cent2058","aust1307","Central Maewo",-15.0784,168.135
"3756","cent2072","aust1307","Central Masela",-8.15414,129.865
"3758","cent2074","aust1307","Central Ngada",-8.6778,121.04764
"3765","cent2084","aust1307","Central Cagayan Agta",17.9571,121.857
"3766","cent2087","aust1307","Coastal-Naga Bikol",13.7574,123.403
"3768","cent2089","aust1307","Central Subanen",8.12701,123.018
"3769","cent2090","aust1307","Central Tagbanwa",10.6519,119.338
"3770","cent2091","aust1307","Central Palawano",8.77013,117.838
"3771","cent2092","aust1307","Central Sama",7.004574,118.455978
"3774","cent2098","aust1307","Central Berawan",3.97194,114.565
"3775","cent2100","aust1307","Kadazan Dusun",6.02998,116.681
"3776","cent2101","aust1307","Central Melanau",2.524086,111.346451
"3887","cent2292","aust1307","Central Bontoc",17.08,120.92
"4069","cham1312","aust1307","Chamorro",13.438011,144.74474
"4152","chek1238","aust1307","Cheke Holo",-8.27055,159.625
"4367","chru1239","aust1307","Chru",11.6625,108.529
"4410","chuu1238","aust1307","Chuukese",7.346993,151.598607
"4420","ciac1237","aust1307","Cia-Cia",-5.68289,122.791
"4435","cina1236","aust1307","Cinamiguin Manobo",9.1793,124.721
